iter	Logloss
0	0.5671138811
1	0.5025585762
2	0.4678471943
3	0.4520128916
4	0.4347676964
5	0.426171528
6	0.4191065188
7	0.4152671406
8	0.410781641
9	0.4096120317
10	0.4055323165
11	0.4015956482
12	0.3993545346
13	0.397508589
14	0.3960019846
15	0.3948213182
16	0.3936733492
17	0.3917641483
18	0.3914229941
19	0.3912584622
20	0.3906354245
21	0.3902253201
22	0.3884188745
23	0.3871138852
24	0.3870260351
25	0.386917488
26	0.3861794143
27	0.3849263591
28	0.3840914949
29	0.3812705882
30	0.3811732279
31	0.3809102138
32	0.3787483801
33	0.3767189614
34	0.375918438
35	0.3744862905
36	0.3727290524
37	0.37142374
38	0.369015222
39	0.3680100641
40	0.3670806148
41	0.364487192
42	0.3630042101
43	0.3622414867
44	0.361389777
45	0.3596102146
46	0.3587067643
47	0.3568225378
48	0.3555935367
49	0.3547106646
50	0.3542497285
51	0.352610272
52	0.3509912612
53	0.3500755197
54	0.3488303017
55	0.3474414804
56	0.3465558611
57	0.3450874624
58	0.34450699
59	0.3436513526
60	0.3431504349
61	0.3420074846
62	0.340684186
63	0.3405840116
64	0.3400144628
65	0.3386321026
66	0.3379214358
67	0.3363775556
68	0.3355549446
69	0.3347790668
70	0.3336709185
71	0.3334519376
72	0.3321707955
73	0.3317708446
74	0.331457831
75	0.3302462779
76	0.3299986119
77	0.3294792215
78	0.3290482531
79	0.3281517049
80	0.3276468852
81	0.3255575299
82	0.324999712
83	0.3245700752
84	0.3232825339
85	0.3220913531
86	0.3213851576
87	0.3208969486
88	0.3206672423
89	0.3201644658
90	0.3197928914
91	0.3192948222
92	0.3183050517
93	0.3178339224
94	0.3162998405
95	0.3151968177
96	0.3145067019
97	0.3135091421
98	0.3128817019
99	0.3119214298
100	0.3107549727
101	0.3103682368
102	0.3092006883
103	0.3081431244
104	0.3067028119
105	0.3049379609
106	0.3035224603
107	0.3028545225
108	0.3019518223
109	0.3012191787
110	0.3006966323
111	0.2997381271
112	0.2992337937
113	0.2987675321
114	0.298463242
115	0.2966344276
116	0.295475163
117	0.2945689898
118	0.2938002758
119	0.2935326302
120	0.2924130079
121	0.2913077324
122	0.2902723663
123	0.2896473082
124	0.2892542778
125	0.2883581793
126	0.2872904743
127	0.2863286041
128	0.2855056615
129	0.2849932271
130	0.2847217262
131	0.2839874867
132	0.2831621365
133	0.282429026
134	0.2821292363
135	0.281327647
136	0.2803610955
137	0.2799637762
138	0.2795121814
139	0.2790887953
140	0.2781113694
141	0.2773921838
142	0.2768867561
143	0.2761530081
144	0.2744077888
145	0.2719663622
146	0.2709645684
147	0.2697156464
148	0.2687592133
149	0.2684741145
150	0.2674444876
151	0.2667071494
152	0.2659742403
153	0.2651014499
154	0.2633578894
155	0.2628273939
156	0.2625785083
157	0.2620299922
158	0.2613922186
159	0.2605756398
160	0.2599375003
161	0.2595119454
162	0.2589141618
163	0.2585143787
164	0.2577683285
165	0.2570879662
166	0.2567216243
167	0.2561866095
168	0.2558363359
169	0.2553782288
170	0.2551107397
171	0.2545858648
172	0.2540867288
173	0.2523195387
174	0.2518628297
175	0.2512454169
176	0.2506999923
177	0.2503309973
178	0.2495190069
179	0.2488288989
180	0.2483041354
181	0.2480501
182	0.2476299994
183	0.2470256954
184	0.2458122478
185	0.245066301
186	0.2441349543
187	0.2435850156
188	0.2430656045
189	0.2425612788
190	0.2415109913
191	0.2411599826
192	0.2408407238
193	0.2406840249
194	0.2401435866
195	0.2396745735
196	0.2390358768
197	0.2380726703
198	0.2373435651
199	0.2364676522
