iter	Passed	Remaining
0	67	13385
1	134	13339
2	193	12701
3	225	11054
4	285	11115
5	366	11863
6	431	11896
7	486	11679
8	551	11694
9	577	10975
10	635	10918
11	690	10823
12	751	10803
13	830	11032
14	900	11109
15	962	11066
16	1024	11031
17	1088	11009
18	1125	10720
19	1152	10376
20	1210	10321
21	1290	10440
22	1353	10419
23	1431	10498
24	1457	10204
25	1478	9892
26	1531	9811
27	1585	9738
28	1645	9705
29	1733	9825
30	1782	9719
31	1849	9711
32	1906	9645
33	1960	9573
34	2027	9556
35	2083	9492
36	2141	9435
37	2240	9550
38	2308	9531
39	2365	9463
40	2432	9432
41	2489	9365
42	2551	9317
43	2613	9265
44	2677	9221
45	2733	9149
46	2797	9105
47	2859	9055
48	2920	9000
49	2978	8934
50	3035	8867
51	3092	8800
52	3151	8739
53	3234	8745
54	3299	8698
55	3358	8636
56	3411	8558
57	3493	8553
58	3556	8498
59	3641	8496
60	3700	8431
61	3753	8354
62	3850	8373
63	3924	8339
64	3981	8268
65	4036	8195
66	4100	8138
67	4156	8067
68	4218	8009
69	4292	7972
70	4383	7965
71	4474	7954
72	4554	7924
73	4656	7928
74	4727	7879
75	4871	7948
76	5003	7993
77	5133	8030
78	5260	8056
79	5345	8018
80	5426	7972
81	5528	7955
82	5600	7894
83	5667	7826
84	5745	7772
85	5845	7748
86	5975	7761
87	6053	7704
88	6176	7703
89	6243	7631
90	6317	7567
91	6413	7529
92	6506	7486
93	6596	7438
94	6670	7373
95	6748	7310
96	6844	7268
97	6930	7212
98	6998	7140
99	7121	7121
100	7209	7066
101	7293	7007
102	7380	6950
103	7470	6896
104	7542	6824
105	7630	6766
106	7750	6736
107	7850	6687
108	7907	6601
109	7994	6541
110	8063	6465
111	8130	6388
112	8218	6327
113	8285	6250
114	8346	6169
115	8420	6097
116	8507	6035
117	8578	5961
118	8643	5883
119	8735	5823
120	8793	5740
121	8853	5660
122	8940	5597
123	8996	5513
124	9055	5433
125	9119	5356
126	9178	5275
127	9238	5196
128	9298	5117
129	9375	5048
130	9439	4971
131	9496	4892
132	9555	4813
133	9612	4734
134	9674	4658
135	9730	4579
136	9786	4500
137	9854	4427
138	9915	4351
139	10014	4291
140	10073	4215
141	10134	4139
142	10192	4062
143	10249	3985
144	10308	3910
145	10369	3835
146	10457	3770
147	10521	3696
148	10578	3620
149	10644	3548
150	10702	3473
151	10788	3406
152	10849	3332
153	10907	3258
154	10968	3184
155	11029	3110
156	11085	3036
157	11151	2964
158	11216	2892
159	11276	2819
160	11333	2745
161	11406	2675
162	11464	2602
163	11520	2528
164	11582	2456
165	11638	2383
166	11694	2310
167	11750	2238
168	11811	2166
169	11872	2095
170	11927	2022
171	11982	1950
172	12091	1887
173	12160	1817
174	12232	1747
175	12287	1675
176	12343	1603
177	12409	1533
178	12470	1463
179	12527	1391
180	12583	1320
181	12646	1250
182	12704	1180
183	12761	1109
184	12819	1039
185	12887	970
186	12946	899
187	13005	830
188	13060	760
189	13119	690
190	13191	621
191	13251	552
192	13330	483
193	13395	414
194	13451	344
195	13520	275
196	13578	206
197	13640	137
198	13697	68
199	13757	0
